fecha;NUMERO DE VIAJES (HOJA DE DISTRIB);REPARTO;UNIDAD;PUNTO DE PARTIDA;TIPO DE FLOTA (Propio o Tercero);PESO REQUERIDO;PESO ENTREGADO;PESO ENTREGADO A TIEMPO;NRO ENTREGAS EFECTUADAS (Nro Guias);NRO ENTREGAS RECHAZADAS (Nro Guias);CONSUMO D2;H. SALIDA;FLETE;H.INGRESO;TIEMPO REPARTO;KM INICIAL;KM FINAL;KM RECORRIDO (KM Inicial - KM Final);KM/GL;;;;;;;;;
29/10/2022;64413;FUNDO;SMG-875;Cajamarca, Perú;Propia;2913,00;2913,00;100%;1;0;4,545;5:20:00;S/ 1.602,14;12:33:00;7:13:00;66910;67058;148;32,56;;;;;;;;;
29/10/2022;64449;LOCAL;SMG-875;Cajamarca, Perú;Propia;1096,20;1096,20;100%;1;0;0,768;13:57:00;S/ 599,36;15:15:00;1:18:00;67059;67084;25;32,56;;;;;;;;;
29/10/2022;64414;FUNDO;KLM-532;Trujillo,  Perú;Propia;2949,00;2949,00;100%;2;0;16,20;5:20:00;S/ 587,94;14:24:00;9:04:00;567868;568139;271;16,73;;;;;;;;;
29/10/2022;64411;LOCAL;DIP-028;Chiclayo, Perú;Propia;2190,00;2177,05;99%;13;1;1,136;8:35:00;S/ 1.045,50;12:24:00;3:49:00;96174;96201;27;23,76;;;;;;;;;
29/10/2022;64448;LOCAL;DIP-028;Chiclayo, Perú;Propia;1333,95;1333,95;100%;3;0;0,884;14:00:00;S/ 484,60;14:00:00;0:00:00;96201;96222;21;23,76;;;;;;;;;
29/10/2022;64412;LOCAL;BRL-549;Chiclayo, Perú;Propia;293,77;239,05;81%;19;1;2,195;8:35:00;S/ 1.082,08;12:37:00;4:02:00;174641;174692;51;23,23;;;;;;;;;
29/10/2022;64461;LOCAL;BRL-549;Chiclayo, Perú;Propia;2010,00;1993,00;99%;15;1;1,507;15:15:00;S/ 835,42;18:10:00;2:55:00;174692;174727;35;23,23;;;;;;;;;
29/10/2022;64454;LOCAL;AKM-892;Piura, Perú;Propia;3730,00;3730,00;100%;5;0;2,891;14:18:00;S/ 1.044,39;16:59:00;2:41:00;140958;141007;49;16,95;;;;;;;;;
29/10/2022;009-041154;TOTTUS;AKM-892;Piura, Perú;Propia;0,01;0,01;100%;1;0;0,769;;S/ 0,00;;0:00:00;141007;141020;13;16,91;;;;;;;;;
29/10/2022;009-041153;TOTTUS;M14-016;Chiclayo, Perú;Propia;0,01;0,01;100%;1;0;4,658;7:41:00;S/ 0,00;13:14:00;5:33:00;187151;187208;57;12,24;;;;;;;;;
31/10/2022;64530;LOCAL;DIP-028;Chiclayo, Perú;Propia;906,00;906,00;100%;13;0;0,86;15:00:00;S/ 451,60;18:16:00;3:16:00;96242;96264;22;25,71;;;;;;;;;
31/10/2022;64494;LOCAL;DIP-028;Chiclayo, Perú;Propia;2163,00;2156,00;100%;5;1;0,74;9:46:00;S/ 938,18;13:25:00;3:39:00;96223;96242;19;25,71;;;;;;;;;
31/10/2022;009-041173;TOTTUS;AKM-892;Piura, Perú;Propia;0,01;0,01;100%;1;0;2,498;7:24:00;S/ 0,00;15:46:00;8:22:00;141020;141069;49;19,62;;;;;;;;;
31/10/2022;64551;LOCAL;AKM-892;Piura, Perú;Propia;1604,00;1604,00;100%;5;0;0,833;17:01:00;S/ 465,85;18:32:00;1:31:00;141070;141086;16;19,22;;;;;;;;;
